Posts	tokens	ttr	rttr	cttr	herdan	maas	profanity_count	profanity_cleaned_text	flesch_reading_ease	text_standard	reading_time	syllable_count	sentence_count	char_count	polysyllable_count	get_monosyllable_count	num_of_choruses	rhyme_scheme	sentiment_polarity
"@bob@infosec.exchange #Crypto €BMW ""Let’s go!"" https://t.co/xyz123 😀"	12	1.0	3.464101615137755	2.4494897427831783	1.0	0.0	0	"@bob@infosec.exchange #Crypto €BMW ""Let’s go!"" https://t.co/xyz123 😀"	17.44500000000002	11th and 12th grade	0.9107799999999999	13	1	62	2	3	0	A	positive
#Startups 💡 $GOOG https://t.co/xyz123 @dave@mastodon.social 'Not sure about this'	14	1.0	3.7416573867739413	2.6457513110645903	1.0	0.0	0	#Startups 💡 $GOOG https://t.co/xyz123 @dave@mastodon.social 'Not sure about this'	44.150000000000006	11th and 12th grade	1.0723699999999998	15	2	73	2	4	0	A	negative
@bob@mastodon.social $AAPL 'This is amazing' 😀 #Crypto https://news.site/article	13	1.0	3.6055512754639896	2.5495097567963927	1.0	0.0	0	@bob@mastodon.social $AAPL 'This is amazing' 😀 #Crypto https://news.site/article	18.44428571428574	12th and 13th grade	1.0723699999999998	15	1	73	3	3	0	A	positive
"@dave@infosec.exchange ""Exciting times ahead!"" https://t.co/xyz123 €BMW #AI 😀"	13	1.0	3.6055512754639896	2.5495097567963927	1.0	0.0	0	"@dave@infosec.exchange ""Exciting times ahead!"" https://t.co/xyz123 €BMW #AI 😀"	-14.260357142857146	21st and 22nd grade	1.0283	18	2	70	3	3	0	A	positive
#AI @bob@mastodon.social €ETH 🚀 'Not sure about this' https://news.site/article	14	1.0	3.7416573867739413	2.6457513110645903	1.0	0.0	0	#AI @bob@mastodon.social €ETH 🚀 'Not sure about this' https://news.site/article	50.66500000000002	10th and 11th grade	1.04299	14	1	71	2	5	0	A	negative
'This is amazing' €BMW https://t.co/xyz123 💡 #AI @dave	11	1.0	3.3166247903554	2.345207879911715	1.0	0.0	0	'This is amazing' €BMW https://t.co/xyz123 💡 #AI @dave	70.33964285714288	7th and 8th grade	0.69043	11	2	47	2	5	0	A	positive
'These days are amazing' #TechNews https://t.co/xyz123 €ETH 💡 @dave@techhub.org	14	1.0	3.7416573867739413	2.6457513110645903	1.0	0.0	0	'These days are amazing' #TechNews https://t.co/xyz123 €ETH 💡 @dave@techhub.org	44.150000000000006	17th and 18th grade	1.04299	15	2	71	3	4	0	A	positive
"What a day today #AI $GOOG @bob@techhub.org 🚀 https://news.site/article"""	14	1.0	3.7416573867739413	2.6457513110645903	1.0	0.0	0	"What a day today #AI $GOOG @bob@techhub.org 🚀 https://news.site/article"""	61.24000000000001	7th and 8th grade	0.94016	13	1	64	1	5	0	A	neutral
"https://news.site/article #TechNews ""Exciting times ahead!"" @eve@mastodon.social 😀 $GOOG"	13	1.0	3.6055512754639896	2.5495097567963927	1.0	0.0	0	"https://news.site/article #TechNews ""Exciting times ahead!"" @eve@mastodon.social 😀 $GOOG"	6.35857142857148	13th and 14th grade	1.18989	16	1	81	3	2	0	A	positive
"Let’s go! https://t.co/xyz123 @alice@mastodon.social $TSLA #AI 🔥"""	12	1.0	3.464101615137755	2.4494897427831783	1.0	0.0	0	"Let’s go! https://t.co/xyz123 @alice@mastodon.social $TSLA #AI 🔥"""	45.64500000000001	10th and 11th grade	0.8667099999999999	11	1	59	2	4	0	A	negative
"$TSLA 🔥 @bob@infosec.exchange ""Exciting times ahead!"" #AI https://t.co/xyz123"	13	1.0	3.6055512754639896	2.5495097567963927	1.0	0.0	0	"$TSLA 🔥 @bob@infosec.exchange ""Exciting times ahead!"" #AI https://t.co/xyz123"	6.35857142857148	13th and 14th grade	1.0283	16	1	70	3	3	0	A	positive
@alice@infosec.exchange €ETH 'Not sure about this' https://t.co/xyz123 🚀 #Crypto	14	1.0	3.7416573867739413	2.6457513110645903	1.0	0.0	0	@alice@infosec.exchange €ETH 'Not sure about this' https://t.co/xyz123 🚀 #Crypto	-2.2099999999999795	12th and 13th grade	1.05768	19	1	72	2	4	0	A	negative
"https://t.co/xyz123 ""What a day!"" @eve@infosec.exchange 📉 $GOOG #Startups"	13	1.0	3.6055512754639896	2.5495097567963927	1.0	0.0	0	"https://t.co/xyz123 ""What a day!"" @eve@infosec.exchange 📉 $GOOG #Startups"	21.99678571428572	12th and 13th grade	0.96954	15	2	66	2	4	0	A	neutral
@bob@techhub.org https://t.co/xyz123 🔥 $AAPL #Climate 'Not sure about this'	14	1.0	3.7416573867739413	2.6457513110645903	1.0	0.0	0	@bob@techhub.org https://t.co/xyz123 🔥 $AAPL #Climate 'Not sure about this'	61.24000000000001	7th and 8th grade	0.98423	13	1	67	1	4	0	A	negative
"🔥 $GOOG @charlie@techhub.org https://t.co/xyz123 ""What a day!"" #Startups"	13	1.0	3.6055512754639896	2.5495097567963927	1.0	0.0	0	"🔥 $GOOG @charlie@techhub.org https://t.co/xyz123 ""What a day!"" #Startups"	42.61571428571432	10th and 11th grade	0.95485	13	1	65	2	4	0	A	negative
@bob@techhub.org 📉 'Not sure about this' #TechNews €BMW https://t.co/xyz123	14	1.0	3.7416573867739413	2.6457513110645903	1.0	0.0	0	@bob@techhub.org 📉 'Not sure about this' #TechNews €BMW https://t.co/xyz123	61.24000000000001	7th and 8th grade	0.98423	13	1	67	1	4	0	A	negative
#Climate @eve@mastodon.social 'Not sure about this' 🔥 https://news.site/article $GOOG	14	1.0	3.7416573867739413	2.6457513110645903	1.0	0.0	0	#Climate @eve@mastodon.social 'Not sure about this' 🔥 https://news.site/article $GOOG	40.09	10th and 11th grade	1.13113	15	1	77	2	4	0	A	negative
"💡 $TSLA https://news.site/article #AI @bob ""Let’s go!"""	10	1.0	3.162277660168379	2.23606797749979	1.0	0.0	0	"💡 $TSLA https://news.site/article #AI @bob ""Let’s go!"""	73.84500000000001	13th and 14th grade	0.70512	9	1	48	1	5	0	A	neutral
"#Climate ""Exciting times ahead!"" $GOOG 🔥 @charlie http://example.com/info"	11	1.0	3.3166247903554	2.345207879911715	1.0	0.0	0	"#Climate ""Exciting times ahead!"" $GOOG 🔥 @charlie http://example.com/info"	-2.1746428571428282	14th and 15th grade	0.96954	17	2	66	2	2	0	A	positive
@eve@infosec.exchange #Climate https://t.co/xyz123 😀 'Not sure about this' €BMW	14	1.0	3.7416573867739413	2.6457513110645903	1.0	0.0	0	@eve@infosec.exchange #Climate https://t.co/xyz123 😀 'Not sure about this' €BMW	23.00000000000003	11th and 12th grade	1.04299	17	2	71	2	4	0	A	positive
"#Climate @eve 📉 http://example.com/info ""Let’s go!"" $TSLA"	10	1.0	3.162277660168379	2.23606797749979	1.0	0.0	0	"#Climate @eve 📉 http://example.com/info ""Let’s go!"" $TSLA"	34.59000000000003	13th and 14th grade	0.7491899999999999	12	2	51	1	4	0	A	neutral
😀 #TechNews https://t.co/xyz123 @eve@techhub.org 'Not sure about this' $AAPL	14	1.0	3.7416573867739413	2.6457513110645903	1.0	0.0	0	😀 #TechNews https://t.co/xyz123 @eve@techhub.org 'Not sure about this' $AAPL	61.24000000000001	7th and 8th grade	0.9989199999999999	13	1	68	1	4	0	A	positive
"""What a day!"" 💡 #Climate @charlie@techhub.org $GOOG https://news.site/article"	13	1.0	3.6055512754639896	2.5495097567963927	1.0	0.0	0	"""What a day!"" 💡 #Climate @charlie@techhub.org $GOOG https://news.site/article"	34.08250000000001	8th and 9th grade	1.0283	14	2	70	2	4	0	A	neutral
'This is amazing' 💡 #AI https://news.site/article €ETH @bob	11	1.0	3.3166247903554	2.345207879911715	1.0	0.0	0	'This is amazing' 💡 #AI https://news.site/article €ETH @bob	58.25392857142859	9th and 10th grade	0.76388	12	2	52	2	5	0	A	positive
"🔥 ""Exciting times ahead!!!"" It is happening today #AI http://example.com/info @eve €ETH"	15	1.0	3.8729833462074166	2.7386127875258306	1.0	0.0	0	"🔥 ""Exciting times ahead!!!"" It is happening today #AI http://example.com/info @eve €ETH"	33.913333333333355	8th and 9th grade	1.11644	22	3	76	3	6	0	A	positive
"""Exciting times ahead!"" #Crypto 😀 https://news.site/article €BMW @dave@techhub.org"	13	1.0	3.6055512754639896	2.5495097567963927	1.0	0.0	0	"""Exciting times ahead!"" #Crypto 😀 https://news.site/article €BMW @dave@techhub.org"	9.91107142857146	12th and 13th grade	1.10175	16	2	75	3	2	0	A	positive
😀 #Climate $GOOG @dave http://example.com/info 'Not sure about this'	12	1.0	3.464101615137755	2.4494897427831783	1.0	0.0	0	😀 #Climate $GOOG @dave http://example.com/info 'Not sure about this'	44.150000000000006	11th and 12th grade	0.8814	15	2	60	1	5	0	A	positive
"@bob@infosec.exchange $GOOG 🔥 https://t.co/xyz123 ""What a day!"" #AI"	13	1.0	3.6055512754639896	2.5495097567963927	1.0	0.0	0	"@bob@infosec.exchange $GOOG 🔥 https://t.co/xyz123 ""What a day!"" #AI"	46.1682142857143	12th and 13th grade	0.8814	13	2	60	2	5	0	A	negative
"😀 $AAPL #Crypto never better before https://news.site/article ""Exciting times ahead!"" @dave@techhub.org"	16	1.0	4.0	2.82842712474619	1.0	0.0	0	"😀 $AAPL #Crypto never better before https://news.site/article ""Exciting times ahead!"" @dave@techhub.org"	15.640000000000015	9th and 10th grade	1.3661699999999999	22	2	93	3	2	0	A	positive
"€ETH @eve@infosec.exchange http://example.com/info ""What a day!"" 🔥 #TechNews"	13	1.0	3.6055512754639896	2.5495097567963927	1.0	0.0	0	"€ETH @eve@infosec.exchange http://example.com/info ""What a day!"" 🔥 #TechNews"	-17.812857142857126	12th and 13th grade	1.0136100000000001	18	1	69	2	4	0	A	negative
"🔥 #AI @charlie ""Exciting times ahead!"" €BMW https://t.co/xyz123"	11	1.0	3.3166247903554	2.345207879911715	1.0	0.0	0	"🔥 #AI @charlie ""Exciting times ahead!"" €BMW https://t.co/xyz123"	42.61571428571432	8th and 9th grade	0.82264	13	1	56	2	3	0	A	positive
"http://example.com/info @bob@techhub.org €BMW ""Exciting times ahead!"" #Startups 📉"	13	1.0	3.6055512754639896	2.5495097567963927	1.0	0.0	0	"http://example.com/info @bob@techhub.org €BMW ""Exciting times ahead!"" #Startups 📉"	-5.727142857142809	14th and 15th grade	1.08706	17	1	74	2	2	0	A	positive
"@alice@techhub.org https://t.co/xyz123 🔥 ""What a day!"" $TSLA #Climate"	13	1.0	3.6055512754639896	2.5495097567963927	1.0	0.0	0	"@alice@techhub.org https://t.co/xyz123 🔥 ""What a day!"" $TSLA #Climate"	54.70142857142861	18th and 19th grade	0.9107799999999999	12	1	62	2	4	0	A	negative
@bob https://news.site/article 💡 €BMW #Startups 'Not sure about this'	12	1.0	3.464101615137755	2.4494897427831783	1.0	0.0	0	@bob https://news.site/article 💡 €BMW #Startups 'Not sure about this'	61.24000000000001	8th and 9th grade	0.8960899999999999	13	1	61	1	5	0	A	negative
"#TechNews 📉 https://news.site/article €BMW @charlie ""What a day!"""	11	1.0	3.3166247903554	2.345207879911715	1.0	0.0	0	"#TechNews 📉 https://news.site/article €BMW @charlie ""What a day!"""	54.70142857142861	8th and 9th grade	0.85202	12	1	58	1	4	0	A	neutral
"https://news.site/article ""Let’s go!"" 😀 #Startups @dave@infosec.exchange €BMW"	12	1.0	3.464101615137755	2.4494897427831783	1.0	0.0	0	"https://news.site/article ""Let’s go!"" 😀 #Startups @dave@infosec.exchange €BMW"	-24.85499999999996	17th and 18th grade	1.04299	16	1	71	2	3	0	A	positive
"""Let’s go!"" $AAPL 🚀 #AI https://t.co/xyz123 @alice@techhub.org"	12	1.0	3.464101615137755	2.4494897427831783	1.0	0.0	0	"""Let’s go!"" $AAPL 🚀 #AI https://t.co/xyz123 @alice@techhub.org"	59.745000000000005	18th and 19th grade	0.82264	10	1	56	2	4	0	A	neutral
"http://example.com/info ""What a day!"" #TechNews @eve@techhub.org $GOOG 😀"	13	1.0	3.6055512754639896	2.5495097567963927	1.0	0.0	0	"http://example.com/info ""What a day!"" #TechNews @eve@techhub.org $GOOG 😀"	30.53000000000003	8th and 9th grade	0.95485	14	1	65	1	4	0	A	positive
#Startups #business @bob@infosec.exchange Not sure about this https://news.site/article €BMW 📉	15	1.0	3.8729833462074166	2.7386127875258306	1.0	0.0	0	#Startups #business @bob@infosec.exchange Not sure about this https://news.site/article €BMW 📉	23.667500000000018	10th and 11th grade	1.2486499999999998	19	2	85	2	4	0	A	negative
#Crypto $AAPL 📉 https://t.co/xyz123 'Not sure about this' @alice@techhub.org	14	1.0	3.7416573867739413	2.6457513110645903	1.0	0.0	0	#Crypto $AAPL 📉 https://t.co/xyz123 'Not sure about this' @alice@techhub.org	54.72500000000002	11th and 12th grade	0.9989199999999999	14	2	68	2	4	0	A	negative
"#Startups 📉 @bob $GOOG http://example.com/info ""Let’s go!"""	10	1.0	3.162277660168379	2.23606797749979	1.0	0.0	0	"#Startups 📉 @bob $GOOG http://example.com/info ""Let’s go!"""	34.59000000000003	11th and 12th grade	0.76388	12	2	52	1	4	0	A	neutral
"https://news.site/article #AI ""Exciting times ahead!"" $GOOG @charlie@techhub.org 🚀"	13	1.0	3.6055512754639896	2.5495097567963927	1.0	0.0	0	"https://news.site/article #AI ""Exciting times ahead!"" $GOOG @charlie@techhub.org 🚀"	6.35857142857148	13th and 14th grade	1.10175	16	1	75	3	3	0	A	positive
